vehicle_id,vehicle_model,engine_temp,speed,latitude,longitude,battery_efficiency,miles
EV-072,Kona Electric,34.6,11.2,13.07217,80.30575,3.86,2537.2
EV-078,Nexon EV,30.5,13.2,13.07675,80.28382,3.75,11186
EV-087,Model Y,32.2,46.9,13.07709,80.16566,3.24,12351.1
EV-062,Model 3,40.4,52.5,13.15312,80.3528,3.52,12838.9
EV-040,Kona Electric,31.9,31.5,13.09846,80.36474,3.72,1604.3
EV-085,Ioniq 5,30.5,0,13.10082,80.18742,3.52,8368.5
EV-080,Model 3,36.8,58.5,13.19684,80.29709,3.91,12132.2
EV-082,Model 3,44.8,54.9,13.23283,80.24968,3.75,1927.6
EV-053,Kona Electric,35.7,60.8,12.98422,80.36589,3.93,1497.3
EV-024,Model Y,40.6,0,12.95639,80.26407,3.61,12255
EV-026,Nexon EV,35.8,0,13.05475,80.26624,4.25,11952.1
EV-089,XUV400,45,32.8,13.14535,80.41637,4.06,6733.2
EV-060,Model Y,35.3,0,13.11278,80.16787,3.78,1650.1
EV-041,Ioniq 5,34.4,29.4,13.16703,80.29054,4.64,7744.3
EV-029,Ioniq 5,32.4,41.2,13.05131,80.27779,4.05,5925.1
EV-015,Model Y,32.3,17.6,12.92616,80.22241,3.79,7780.6
EV-045,MG ZS EV,39.4,0,12.97336,80.43389,4.11,6601.2
EV-065,Model 3,34.8,25.3,13.12788,80.29762,3.62,8529.9
EV-089,XUV400,35.3,0,13.16764,80.32444,3.93,10908.3
EV-071,Model Y,33,0,12.93016,80.33587,4.81,11624
EV-009,Model 3,37.1,32.3,13.19555,80.24503,3.29,9736.5
EV-088,Ioniq 5,34.8,11.7,13.11987,80.37004,3.79,2988.1
EV-001,Kona Electric,41.1,54.9,13.07707,80.35394,3.74,5959.9
EV-008,Kona Electric,33,42.5,13.03255,80.26093,3.85,1073
EV-088,Ioniq 5,34.9,35.3,13.20999,80.34576,3.8,6777.8
EV-063,Model 3,36.8,27.4,13.15446,80.36989,4.68,14555.2
EV-011,Kona Electric,38.1,44.2,13.12197,80.33431,3.78,9627.8
EV-081,Model Y,31.1,11.5,13.02419,80.20388,4.16,2323.4
EV-008,Kona Electric,37.5,28.9,13.21183,80.26331,3.75,4032.3
EV-035,MG ZS EV,36.1,66,13.08513,80.30873,3.74,973.3
EV-035,MG ZS EV,25.9,0,13.10662,80.29087,4.37,2740.3
EV-033,Nexon EV,35.2,14,13.08854,80.21109,3.97,7320.2
EV-005,MG ZS EV,30,32.9,13.02146,80.24777,3.77,5176.1
EV-041,Ioniq 5,35.7,19.6,13.10828,80.29885,3.95,3063.4
EV-028,Model 3,26.2,33.2,13.13846,80.14996,4.21,2203.2
EV-007,XUV400,35.6,60.5,13.04737,80.27225,4.04,9842.8
EV-073,Model Y,30.4,0,13.10143,80.32643,4.1,8373.7
EV-072,Kona Electric,27.2,26.6,13.08738,80.29334,3.97,12640.4
EV-012,MG ZS EV,35,40.3,13.15591,80.2021,4.51,2752.9
EV-034,MG ZS EV,41.7,31.8,13.05878,80.21618,3.75,12720.5
EV-033,Nexon EV,25.6,0,13.10083,80.38966,3.84,8670.8
EV-048,Model Y,37.4,59,13.11767,80.19569,4.44,3997
EV-023,Model 3,44,29.1,13.05697,80.36555,3.96,4106.9
EV-062,Model 3,33.5,56.6,13.01667,80.22099,4.03,5858.8
EV-088,Ioniq 5,44.7,48,13.02969,80.36111,3.59,6904.6
EV-037,Model 3,34.9,35.8,13.11544,80.31399,4.4,1242.2
EV-099,Kona Electric,36.6,34,13.06387,80.24286,3.54,12630.8
EV-044,Ioniq 5,44,46.4,13.06281,80.12938,3.48,1827.5
EV-086,Model 3,29.6,0,13.13103,80.30259,4.36,7254.5
EV-091,Model 3,43,65.5,13.16426,80.28523,3.45,5747.6
EV-035,MG ZS EV,39.6,26.3,13.17804,80.30381,3.9,7686.7
EV-065,Model 3,31.9,26.3,13.0337,80.31385,4.17,13312.8
EV-099,Kona Electric,31,23.2,13.15652,80.16557,3.88,14836.4
EV-047,Kona Electric,37.4,54.4,13.2495,80.30216,3.39,309
EV-078,Nexon EV,38.9,66,13.09279,80.3301,3.35,5901.6
EV-003,XUV400,30.8,35.3,13.07684,80.32916,3.61,12265.1
EV-001,Kona Electric,28.8,0,13.06016,80.17046,4.46,4902.4
EV-005,MG ZS EV,22.2,63.1,12.9976,80.36304,4.12,9737.3
EV-090,Kona Electric,33.6,26.8,13.15008,80.305,3.66,14883.9
EV-014,XUV400,36.5,0,13.07719,80.31514,4.17,9703.3
EV-027,Model Y,27.7,33.9,13.07072,80.19904,3.89,1672.3
EV-009,Model 3,31.7,16.7,13.13769,80.33127,4.58,12644.8
EV-079,Model Y,51.4,59.7,13.14506,80.13279,4.56,14500
EV-015,Model Y,34.7,23.5,13.03463,80.20284,4.29,10689.1
EV-090,Kona Electric,39.3,4.4,13.03654,80.37203,3.79,6288.9
EV-042,Ioniq 5,28,9.1,13.03299,80.32739,3.54,14226.3
EV-077,Ioniq 5,40.2,49.7,13.25178,80.29402,4,14528.7
EV-051,XUV400,29.6,29.2,13.20087,80.3462,3.94,14027.1
EV-063,Model 3,36.2,18.4,13.13926,80.35176,3.42,6180.2
EV-096,Ioniq 5,38.5,19.1,13.05267,80.33133,4.03,11846.7
EV-052,MG ZS EV,42.4,61.1,13.06215,80.25331,4.52,9814.4
EV-096,Ioniq 5,32.6,19.4,13.11177,80.20046,4.32,2699.7
EV-004,Kona Electric,33.4,0,13.25943,80.21763,3.54,8035
EV-094,Model 3,38,38.3,13.10581,80.38355,3.99,11216.6
EV-023,Model 3,39.7,36.7,13.12341,80.16866,4.15,13439.2
EV-015,Model Y,31.4,0,12.87878,80.30997,4.2,12939.7
EV-043,Kona Electric,43.3,55.2,13.10331,80.31009,3.14,2324.1
EV-029,Ioniq 5,43.1,32.5,12.97119,80.38814,3.95,7323.1
EV-036,Kona Electric,37.6,59.9,13.04374,80.30986,3.81,7176.6
EV-013,MG ZS EV,34.9,22.5,13.08645,80.23684,3.93,13481.6
EV-032,Nexon EV,34.9,61.9,13.05853,80.2381,2.89,34
EV-071,Model Y,33.7,0,13.03182,80.27024,3.94,11082
EV-059,Nexon EV,37.9,35.1,13.03254,80.36131,4.31,9281.5
EV-086,Model 3,38,47.4,13.06582,80.33522,3.72,13824
EV-028,Model 3,39.4,56.2,13.06232,80.18384,3.59,6856.5
EV-066,XUV400,44.8,26.4,13.08432,80.29299,4.56,9866.8
EV-042,Ioniq 5,21.6,33.5,13.07834,80.33672,3.92,14591.3
EV-045,MG ZS EV,35.7,51.4,13.18501,80.25173,3.92,11159.8
EV-062,Model 3,32.6,19,12.91873,80.0979,3.25,1015.4
EV-057,Model 3,46,56.4,13.1023,80.25498,3.34,2517.2
EV-006,XUV400,42.1,64.5,13.08838,80.15189,4.49,12322.7
EV-028,Model 3,34.5,0,13.07196,80.13922,4.66,5025.3
EV-028,Model 3,38.3,0,13.02624,80.35591,4.19,10590.2
EV-044,Ioniq 5,32.7,13,13.07072,80.47238,3.09,10498.9
EV-084,Ioniq 5,37,14.8,12.95202,80.37984,3.47,14905.5
EV-030,XUV400,31.7,19.8,13.09924,80.06185,3.46,7050.7
EV-062,Model 3,33,52.3,13.11374,80.25686,3.31,11068.8
EV-075,Kona Electric,41.9,7.3,13.02637,80.22352,3.85,736
EV-092,Model 3,41.9,67,13.23796,80.15303,3.87,6941.6
EV-089,XUV400,38.1,23.7,13.07306,80.30789,3.75,2804.3
EV-062,Model 3,29.3,22.2,13.08623,80.25592,3.88,12609.4
EV-097,Model Y,34.6,0,13.18956,80.17757,3.88,12599.4
EV-001,Kona Electric,45.8,41.2,13.25407,80.10619,4.35,3549.3
EV-027,Model Y,34.5,32.2,12.99283,80.22199,4.36,4777.7
EV-062,Model 3,28.1,19.6,13.03653,80.27133,4.06,10538.7
EV-077,Ioniq 5,39.7,56.3,13.07449,80.26123,4.29,11075.3
EV-003,XUV400,29.8,24.6,13.02327,80.35572,3.85,9866.2
EV-070,Kona Electric,28.9,39.5,13.15039,80.29774,4.7,14950.4
EV-072,Kona Electric,31.1,23.3,13.01446,80.24313,3.76,13030.9
EV-027,Model Y,29.5,0,13.18403,80.20532,3.21,6258.8
EV-009,Model 3,28.3,10.6,13.13259,80.12903,3.49,4908
EV-062,Model 3,39.4,6.2,13.17582,80.1834,3.46,8954.8
EV-037,Model 3,46.2,39.8,13.01482,80.37937,3.69,12265.5
EV-097,Model Y,35.1,0,13.05202,80.33987,4.45,7132.8
EV-051,XUV400,36,17.1,13.15454,80.2938,3.82,11066.7
EV-044,Ioniq 5,38.5,60.4,13.14003,80.23117,3.15,292.3
EV-024,Model Y,30.6,25.7,13.05975,80.36998,3.42,13888
EV-079,Model Y,42.5,20.8,13.07114,80.18981,3.98,11608.7
EV-059,Nexon EV,34.4,22.4,13.04795,80.19073,4.61,5915.9
EV-032,Nexon EV,34.6,40.8,13.06898,80.26322,4.09,5763.3
EV-096,Ioniq 5,42.3,43.4,13.00547,80.09605,4.38,1547.8
EV-088,Ioniq 5,34.2,21.1,12.99204,80.18754,4.16,12243.2
