vehicle_id,vehicle_model,engine_temperature,speed,latitude,longitude,battery_efficiency,timestamp
VH_00001,Toyota Camry,65.1,10.9,-83.998138,-67.219404,95.4,2024-11-04 03:45:48
VH_00002,BMW X5,63.7,144.4,-80.138011,39.86591,83.0,2024-11-05 22:38:15
VH_00003,BMW X5,93.6,53.1,-21.338013,-145.501109,92.6,2024-11-12 07:35:42
VH_00004,Tesla Model 3,107.2,112.3,-8.385976,-12.884726,82.8,2024-11-05 21:59:50
VH_00005,Toyota Camry,116.3,140.9,-8.266183,-61.850279,75.8,2024-11-05 23:38:31
VH_00006,Tesla Model 3,,128.4,16.71957,122.680606,97.1,2024-11-07 02:46:45
VH_00007,Chevrolet Bolt,75.4,75.8,40.432147,-19.935247,77.3,2024-11-03 03:20:46
VH_00008,Toyota Camry,78.7,78.5,82.753443,91.574509,79.3,2024-11-27 06:28:41
VH_00009,Tesla Model 3,68.8,55.6,-28.277943,-47.221202,70.2,2024-11-29 11:15:07
VH_00010,Mercedes EQS,68.7,42.7,57.453082,21.40197,71.6,2024-11-17 16:34:29
VH_00011,Toyota Camry,72.0,163.5,51.347485,-57.041307,90.0,2024-11-23 16:33:47
VH_00012,Ford F-150,79.9,104.1,83.35168,41.797129,82.6,2024-11-08 21:04:11
VH_00013,Hyundai Ioniq,112.6,163.9,-0.732479,151.183293,89.2,2024-11-12 04:17:19
VH_00014,Honda Civic,72.8,86.5,48.302714,113.274961,94.2,2024-11-19 05:58:08
VH_00015,Toyota Camry,71.1,178.2,-24.692914,-153.456784,70.9,2024-11-06 14:12:18
VH_00016,Chevrolet Bolt,86.4,113.6,74.287578,-50.432675,99.3,2024-11-10 15:59:41
VH_00017,Ford F-150,70.4,159.4,39.390601,-57.665703,86.6,2024-11-09 16:00:57
VH_00018,Ford F-150,70.6,47.1,-71.785761,119.320465,74.1,2024-11-06 09:17:17
VH_00019,Ford F-150,72.6,82.1,-23.464682,-45.953907,75.1,2024-11-26 13:54:50
VH_00020,Ford F-150,119.9,158.7,68.109811,-156.464093,74.3,2024-11-07 08:23:12
VH_00021,Tesla Model 3,71.5,68.1,-22.634046,35.837699,99.3,2024-11-12 20:55:15
VH_00022,Chevrolet Bolt,105.8,105.7,63.798378,-74.094211,74.5,2024-11-12 23:58:33
VH_00023,Ford F-150,107.7,157.1,63.270475,168.618351,96.6,2024-11-11 03:46:45
VH_00024,Tesla Model 3,107.1,142.4,20.679561,-119.723925,81.6,2024-11-25 17:12:45
VH_00025,Hyundai Ioniq,91.1,32.2,38.247637,9.171242,84.5,2024-11-25 00:28:28
VH_00026,Honda Civic,94.9,114.9,52.312407,53.905414,76.2,2024-11-10 20:30:45
