customer_id,snapshot_date,tenure_months,contract_type,payment_method,internet_service,monthly_charges,total_charges,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,multiple_lines,senior_citizen,has_partner,has_dependents,paperless_billing,churn
2242-MFOTG,2024-01-10,33,one_year,bank_transfer,fiber_optic,80.1,2603.3,1,0,0,0,0,0,1,0,0,0,0,0
9798-OPFEM,2024-01-10,46,two_year,electronic_check,none,21.1,937.1,0,0,0,0,0,0,0,0,0,0,1,0
2636-ALXXZ,2024-01-10,1,month_to_month,electronic_check,fiber_optic,69.6,69.6,0,0,0,0,0,0,0,1,0,0,1,1
5043-TRZWM,2024-01-10,1,month_to_month,electronic_check,fiber_optic,75.55,75.55,0,0,1,0,0,0,0,0,0,0,0,0
2050-ONYDQ,2024-01-10,65,two_year,credit_card,none,26.0,1654.85,0,0,0,0,0,0,1,0,1,1,0,0
0851-DFJKB,2024-01-10,15,month_to_month,electronic_check,dsl,58.95,955.15,1,0,1,1,0,0,0,0,0,0,0,0
8993-IZEUX,2024-01-10,7,month_to_month,bank_transfer,fiber_optic,69.15,488.65,0,0,0,0,0,0,0,0,0,0,0,0
4013-TLDHQ,2024-01-10,19,month_to_month,electronic_check,fiber_optic,78.25,1490.95,0,1,1,0,0,0,0,0,0,0,1,1
1216-JWVUX,2024-01-10,25,month_to_month,electronic_check,fiber_optic,75.5,1901.05,0,1,0,0,0,0,0,0,1,1,1,0
9767-FFLEM,2024-01-10,38,month_to_month,credit_card,fiber_optic,69.5,2625.25,0,0,0,0,0,0,0,0,0,0,1,0
0621-CXBKL,2024-01-10,53,two_year,mailed_check,none,18.7,1005.7,0,0,0,0,0,0,0,0,0,0,0,0
1963-SVUCV,2024-01-10,1,month_to_month,electronic_check,dsl,45.3,45.3,0,0,0,0,0,0,0,0,0,0,0,1
1086-LXKFY,2024-01-10,1,month_to_month,mailed_check,fiber_optic,69.1,69.1,0,0,0,0,0,0,0,0,1,1,1,1
5266-PFRQK,2024-01-10,52,one_year,credit_card,none,20.85,1071.6,0,0,0,0,0,0,0,0,1,1,1,0
9027-TMATR,2024-01-10,43,two_year,electronic_check,dsl,78.8,3460.3,1,0,1,1,1,1,0,0,1,0,1,0
0696-UKTOX,2024-01-10,23,month_to_month,electronic_check,dsl,54.15,1312.45,0,1,0,1,0,0,0,0,0,1,0,0
2737-YNGYW,2024-01-10,2,month_to_month,electronic_check,fiber_optic,80.55,184.1,0,0,0,0,0,1,0,0,0,0,0,1
1730-VFMWO,2024-01-10,34,month_to_month,bank_transfer,dsl,50.2,1815.3,0,0,0,1,0,0,0,0,1,0,0,0
7593-JNWRU,2024-01-10,6,month_to_month,bank_transfer,dsl,44.6,260.8,0,0,0,0,0,0,0,0,1,1,1,1
4189-NAKJS,2024-01-10,26,one_year,credit_card,dsl,51.55,1295.4,0,0,0,0,0,0,1,0,0,0,1,0
6817-WTYHE,2024-01-10,2,month_to_month,bank_transfer,dsl,44.9,111.05,0,0,0,0,0,0,0,0,0,0,0,0
6319-QSUSR,2024-01-10,11,month_to_month,credit_card,none,19.7,216.2,0,0,0,0,0,0,0,0,0,1,0,0
1660-HSOOQ,2024-01-10,1,month_to_month,mailed_check,dsl,49.65,49.65,0,0,1,0,0,0,0,0,0,0,1,1
5294-IMHHT,2024-01-10,53,one_year,bank_transfer,fiber_optic,97.75,5043.2,0,1,0,1,0,1,1,0,1,0,0,0
7853-WNZSY,2024-01-10,1,month_to_month,credit_card,none,19.75,19.75,0,0,0,0,0,0,0,0,0,0,1,0
7901-HXJVA,2024-01-10,14,month_to_month,electronic_check,fiber_optic,76.45,1117.55,0,0,1,0,0,0,0,0,0,0,0,0
8595-SIZNC,2024-01-10,22,one_year,bank_transfer,none,25.6,548.8,0,0,0,0,0,0,1,1,1,0,0,0
2636-SJDOU,2024-01-10,64,one_year,credit_card,fiber_optic,84.3,5289.05,1,1,0,0,0,0,1,0,0,0,1,0
5130-YPIRV,2024-01-10,62,two_year,credit_card,dsl,72.0,4284.2,1,1,1,0,1,0,0,0,1,0,1,0
7541-YLXCL,2024-01-10,36,one_year,mailed_check,dsl,65.4,2498.4,0,1,0,1,0,1,0,0,0,0,1,1
2612-RRIDN,2024-01-10,4,month_to_month,electronic_check,fiber_optic,81.0,340.85,0,0,0,0,1,0,0,0,0,0,1,1
7037-MTYVW,2024-01-10,38,two_year,bank_transfer,dsl,85.4,3297.0,1,0,1,1,1,1,1,0,1,1,1,0
9944-AEXBM,2024-01-10,32,month_to_month,bank_transfer,fiber_optic,85.65,2664.3,0,0,0,0,0,1,1,0,0,0,1,0
6701-DHKWQ,2024-01-10,61,two_year,credit_card,dsl,51.35,3244.4,0,1,1,1,1,0,0,0,1,1,0,0
9067-YGSCA,2024-01-10,70,one_year,credit_card,none,26.05,1856.4,0,0,0,0,0,0,1,0,0,0,0,0
2675-OTVVJ,2024-01-10,31,month_to_month,electronic_check,fiber_optic,89.45,2807.65,1,0,0,0,1,0,1,1,1,0,0,0
9025-ZRPVR,2024-01-10,9,month_to_month,mailed_check,none,18.95,185.6,0,0,0,0,0,0,0,0,0,0,1,1
